Species,Body mass,Ref,mass_arm,mass_hand,mass_fore,Cmz_arm,Cmz_hand,Cmz_fore,I0yy_arm,I0yy_hand,I0yy_fore,L Hum,Lrad,Iebw_arm,Iebw_hand,Iebw_fore,All,lower,percentage
Acinonyx jubatus,39,,1.31E+00,2.07E-01,4.60E-01,4.07E-01,1.22E-02,1.89E-01,1.31E+00,1.92E-01,3.88E-01,1.44E-01,1.90E-01,1.40E+00,2.00E-01,4.05E-01,2.01E+00,6.05E-01,
Canis familiaris,35.5,,5.74E-01,,2.61E-01,2.79E-01,,1.46E-01,3.14E-01,,1.23E-01,1.40E-01,1.83E-01,3.25E-01,0.00E+00,1.29E-01,4.53E-01,1.29E-01,0.28390
Cynomys ludovicianus,1.125,,1.70E-02,2.17E-03,9.55E-03,6.76E-02,8.62E-03,3.26E-02,5.40E-04,6.20E-05,2.60E-04,4.81E-02,4.49E-02,5.47E-04,6.82E-05,2.70E-04,8.85E-04,3.38E-04,0.38224
Felis catus,4.75,,5.36E-02,1.07E-02,2.96E-02,1.34E-01,-5.78E-03,5.26E-02,5.94E-03,1.21E-03,2.92E-03,7.51E-02,8.07E-02,6.12E-03,1.27E-03,3.00E-03,1.04E-02,4.27E-03,0.41093
Hemicentetes semispinosus,0.18,,5.12E-03,5.95E-04,1.84E-03,2.91E-02,1.69E-03,1.67E-02,4.17E-05,5.21E-06,1.38E-05,2.72E-02,2.13E-02,4.17E-05,5.53E-06,1.43E-05,6.15E-05,1.98E-05,0.32184
Hexaprotodon liberiensis,227.5,,,5.43E-02,6.97E-02,,8.94E-03,5.65E-02,,4.40E-03,4.37E-03,2.49E-01,2.66E-01,0.00E+00,8.51E-03,4.59E-03,1.31E-02,1.31E-02,
Hydrochaeris hydrochaeris,50.5,,5.19E-01,2.00E-01,3.57E-01,2.68E-01,1.65E-02,1.13E-01,1.99E-01,7.24E-02,1.14E-01,1.56E-01,2.11E-01,2.05E-01,8.27E-02,1.18E-01,4.06E-01,2.01E-01,0.49514
Leopardus geoffroyi,4.3,,7.33E-02,1.78E-02,4.15E-02,1.17E-01,2.10E-03,5.34E-02,3.65E-03,7.71E-04,1.62E-03,7.28E-02,7.75E-02,3.79E-03,8.84E-04,1.74E-03,6.41E-03,2.62E-03,0.40885
Lutra lutra,6.7,,,1.75E-02,6.36E-02,,1.50E-02,6.59E-02,,2.93E-03,1.01E-02,8.36E-02,9.28E-02,0.00E+00,3.13E-03,1.04E-02,1.35E-02,1.35E-02,
Martes melampus,1.25,,4.11E-02,9.44E-03,1.95E-02,8.67E-02,-4.46E-03,2.94E-02,3.48E-03,8.29E-04,1.51E-03,4.97E-02,4.69E-02,3.54E-03,8.46E-04,1.53E-03,5.91E-03,2.37E-03,0.40165
Meles anakuma,7.45,,2.03E-01,2.98E-02,9.75E-02,1.30E-01,3.88E-03,6.00E-02,2.83E-02,4.02E-03,1.23E-02,8.64E-02,9.68E-02,2.87E-02,4.33E-03,1.26E-02,4.56E-02,1.70E-02,0.37177
Mesocricetus auratus,0.1125,,3.71E-04,6.81E-05,2.50E-04,2.65E-02,9.90E-04,1.06E-02,1.30E-06,1.91E-07,6.76E-07,2.35E-02,1.76E-02,1.30E-06,2.14E-07,7.05E-07,2.22E-06,9.19E-07,0.41423
Mus musculus,0.021,,3.79E-04,4.79E-05,1.76E-04,1.75E-02,2.22E-05,6.15E-03,1.11E-06,1.47E-07,4.82E-07,1.40E-02,8.90E-03,1.11E-06,1.51E-07,4.89E-07,1.75E-06,6.40E-07,0.36460
Nyctereutes procyonoides,5.23,,8.04E-02,2.05E-02,3.71E-02,1.33E-01,6.15E-03,5.97E-02,9.49E-03,2.44E-03,3.82E-03,7.74E-02,8.39E-02,9.73E-03,2.61E-03,3.95E-03,1.63E-02,6.56E-03,0.40258
Paguma larvata,4.3,,4.35E-02,1.18E-02,2.84E-02,1.00E-01,1.56E-03,4.27E-02,3.73E-03,1.00E-03,2.11E-03,7.28E-02,7.75E-02,3.76E-03,1.08E-03,2.16E-03,7.00E-03,3.24E-03,0.46241
Panthera onca,102,,1.47E+00,,8.48E-01,3.62E-01,,2.21E-01,1.08E+00,,5.58E-01,1.94E-01,2.81E-01,1.12E+00,0.00E+00,6.00E-01,1.72E+00,6.00E-01,
Procyon lotor,7.5,,1.48E-01,2.24E-02,6.75E-02,1.61E-01,5.20E-03,7.81E-02,1.29E-02,1.67E-03,4.66E-03,8.66E-02,9.71E-02,1.38E-02,1.90E-03,5.08E-03,2.07E-02,6.98E-03,0.33648
Rattus norvegicus,0.32,,6.27E-03,6.67E-04,2.64E-03,4.19E-02,2.47E-03,2.14E-02,1.12E-04,1.11E-05,4.01E-05,3.26E-02,2.69E-02,1.12E-04,1.17E-05,4.13E-05,1.65E-04,5.30E-05,0.32043
Suricata suricatta,0.776,,1.37E-02,4.25E-03,1.24E-02,7.87E-02,-4.90E-03,3.34E-02,5.92E-04,1.91E-04,4.73E-04,4.28E-02,3.86E-02,6.10E-04,1.96E-04,4.87E-04,1.29E-03,6.83E-04,0.52831
Sus scrofa,169,,1.28E-01,5.16E-02,8.96E-02,1.29E-01,1.31E-02,6.30E-02,1.62E-02,7.88E-03,1.06E-02,2.27E-01,2.40E-01,1.74E-02,1.12E-02,1.10E-02,3.96E-02,2.22E-02,0.55991
Ursus maritimus,265,,2.56E+00,6.61E-01,2.29E+00,4.51E-01,-4.14E-03,2.12E-01,3.18E+00,7.91E-01,2.46E+00,2.61E-01,2.81E-01,3.27E+00,8.42E-01,2.56E+00,6.67E+00,3.40E+00,0.51005
